Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Unnamed: 15,Unnamed: 16
2023-01-01,S002,P0007,Toys,East,393,156,46,167.22,11.49,20,Snowy,1,7.64,Winter,,
2023-01-01,S002,P0008,Groceries,North,405,365,41,375.94,79.19,20,Cloudy,1,83.9,Autumn,,
2023-01-01,S002,P0009,Toys,South,369,277,32,286.08,64.93,20,Snowy,0,66.01,Winter,,
2023-01-01,S002,P0010,Toys,East,233,171,95,173.91,99.76,5,Rainy,0,98.7,Winter,,
2023-01-01,S002,P0011,Groceries,East,483,372,86,370.09,96.55,15,Sunny,1,95.52,Winter,,
2023-01-01,S002,P0012,Clothing,North,73,61,136,54.75,78.6,5,Cloudy,1,79.12,Autumn,,
2023-01-01,S002,P0013,Groceries,South,459,90,120,89.03,83.29,5,Sunny,1,85.76,Winter,,
2023-01-01,S002,P0014,Clothing,South,323,65,73,83.32,54.49,5,Sunny,0,58.41,Autumn,,
2023-01-01,S002,P0015,Clothing,West,137,98,173,103.39,16.92,15,Snowy,0,16.87,Autumn,,
2023-01-01,S002,P0016,Furniture,West,366,139,25,129.38,57.41,15,Rainy,0,62.13,Summer,,
2023-01-01,S002,P0017,Furniture,South,307,41,57,43.25,68.64,15,Snowy,0,65.65,Winter,,
2023-01-01,S002,P0018,Electronics,West,128,102,69,105.45,29.98,20,Sunny,1,33.79,Spring,,
2023-01-01,S002,P0019,Electronics,North,115,5,27,18.86,14.87,15,Sunny,1,14.32,Autumn,,
2023-01-01,S002,P0020,Groceries,East,322,263,162,273.29,93.22,15,Cloudy,1,94.81,Autumn,,
2023-01-01,S003,P0001,Furniture,North,219,8,22,10.69,82.87,0,Snowy,0,84.35,Summer,,
2023-01-01,S003,P0002,Clothing,North,205,146,85,147.66,14.1,5,Snowy,0,17.65,Autumn,,
2023-01-01,S003,P0003,Groceries,North,192,47,173,40.16,47.17,10,Sunny,0,43.47,Winter,,
2023-01-01,S003,P0004,Toys,North,274,175,119,166.13,16.14,20,Cloudy,1,18.26,Spring,,
2023-01-01,S003,P0005,Groceries,North,311,233,150,249.05,47.43,0,Rainy,0,50.78,Autumn,,
2023-01-01,S003,P0006,Electronics,West,92,52,95,61.49,33.89,5,Snowy,0,28.94,Winter,,
2023-01-01,S003,P0007,Clothing,East,266,239,136,241.87,71.13,20,Rainy,0,70.64,Autumn,,
2023-01-01,S003,P0008,Toys,North,403,181,136,182.0,66.27,20,Snowy,0,67.45,Winter,,
2023-01-01,S003,P0009,Clothing,East,84,69,68,79.78,13.14,0,Rainy,1,12.81,Autumn,,
2023-01-01,S003,P0010,Furniture,South,157,61,142,73.08,43.03,15,Sunny,0,43.08,Summer,,
2023-01-01,S003,P0011,Groceries,North,96,7,144,1.0,57.28,15,Snowy,1,53.64,Spring,,
2023-01-01,S003,P0012,Toys,East,208,160,144,159.76,68.51,15,Sunny,0,68.36,Winter,,
2023-01-01,S003,P0013,Electronics,West,397,379,164,390.42,48.36,10,Sunny,1,52.63,Spring,,
2023-01-01,S003,P0014,Toys,East,463,342,44,337.29,24.04,10,Sunny,1,27.59,Autumn,,
2023-01-01,S003,P0015,Groceries,North,449,231,73,228.22,77.79,20,Snowy,0,79.07,Winter,,
2023-01-01,S003,P0016,Clothing,South,185,129,92,134.9,39.72,15,Rainy,0,44.71,Summer,,
2023-01-01,S003,P0017,Toys,West,476,336,126,351.81,79.87,0,Cloudy,1,79.91,Autumn,,
2023-01-01,S003,P0018,Clothing,West,178,172,81,179.89,51.0,20,Cloudy,0,48.06,Summer,,
2023-01-01,S003,P0019,Furniture,South,137,75,29,68.15,49.6,15,Sunny,1,45.42,Summer,,
2023-01-01,S003,P0020,Electronics,South,258,131,152,145.92,44.65,20,Snowy,1,41.05,Autumn,,
2023-01-01,S004,P0001,Clothing,East,117,52,73,56.96,25.7,5,Cloudy,0,21.1,Summer,,
2023-01-01,S004,P0002,Electronics,South,135,29,59,46.0,67.2,0,Rainy,0,62.74,Winter,,
2023-01-01,S004,P0003,Toys,East,408,382,147,384.82,13.26,15,Snowy,1,17.75,Winter,,
2023-01-01,S004,P0004,Clothing,East,393,370,74,389.28,79.74,20,Sunny,0,84.04,Autumn,,
2023-01-01,S004,P0005,Groceries,East,453,336,56,328.85,80.19,0,Snowy,1,79.06,Spring,,
2023-01-01,S004,P0006,Electronics,West,255,187,101,193.7,59.6,0,Snowy,0,62.31,Autumn,,
2023-01-01,S004,P0007,Clothing,South,294,149,132,139.53,23.93,20,Sunny,1,28.05,Autumn,,
2023-01-01,S004,P0008,Electronics,East,232,196,197,205.47,83.43,20,Cloudy,0,85.39,Spring,,
2023-01-01,S004,P0009,Clothing,North,412,275,180,282.92,45.92,5,Snowy,0,42.89,Summer,,
2023-01-01,S004,P0010,Groceries,East,232,167,170,181.5,71.85,10,Cloudy,0,70.52,Winter,,
2023-01-01,S004,P0011,Clothing,North,218,179,44,174.74,44.5,0,Snowy,0,45.11,Winter,,
2023-01-01,S004,P0012,Groceries,East,497,493,25,512.36,55.09,0,Cloudy,1,59.82,Spring,,
2023-01-01,S004,P0013,Toys,South,462,194,37,198.23,43.33,5,Cloudy,0,45.7,Winter,,
2023-01-01,S004,P0014,Electronics,South,496,370,171,380.29,63.77,20,Rainy,1,62.24,Summer,,
2023-01-01,S004,P0015,Clothing,South,333,3,156,4.9,47.32,10,Snowy,0,44.14,Summer,,
2023-01-01,S004,P0016,Clothing,North,213,166,196,158.9,56.98,20,Rainy,0,58.53,Autumn,,
2023-01-01,S004,P0017,Groceries,North,479,186,154,203.35,39.58,0,Sunny,1,43.07,Autumn,,
2023-01-01,S004,P0018,Electronics,West,315,271,172,281.91,28.7,0,Rainy,0,25.98,Spring,,
2023-01-01,S004,P0019,Clothing,West,201,184,124,203.7,29.28,20,Cloudy,0,26.15,Summer,,
2023-01-01,S004,P0020,Groceries,South,447,129,109,146.05,93.21,15,Cloudy,1,90.54,Winter,,
2023-01-01,S005,P0001,Toys,South,430,105,37,96.02,58.23,10,Cloudy,0,58.35,Winter,,
2023-01-01,S005,P0002,Toys,East,153,126,71,117.84,46.14,0,Rainy,0,42.85,Autumn,,
2023-01-01,S005,P0003,Electronics,North,185,150,108,164.99,62.2,15,Cloudy,0,62.31,Spring,,
2023-01-01,S005,P0004,Furniture,South,400,320,75,325.23,80.88,20,Sunny,1,85.28,Winter,,
2023-01-01,S005,P0005,Electronics,East,455,439,180,441.82,19.46,0,Sunny,0,19.97,Winter,,
2023-01-01,S005,P0006,Groceries,North,64,63,162,68.26,33.61,15,Rainy,1,36.77,Summer,,
2023-01-01,S005,P0007,Toys,East,310,101,200,107.58,81.36,0,Cloudy,0,83.1,Summer,,
2023-01-01,S005,P0008,Clothing,East,354,311,90,322.19,39.02,15,Sunny,1,39.08,Summer,,
2023-01-01,S005,P0009,Groceries,South,379,291,23,297.13,42.82,5,Snowy,0,42.55,Winter,,
2023-01-01,S005,P0010,Clothing,South,497,82,109,95.1,78.57,0,Snowy,1,82.13,Summer,,
2023-01-01,S005,P0011,Clothing,East,275,13,169,12.25,26.09,0,Cloudy,1,25.68,Winter,,
2023-01-01,S005,P0012,Furniture,West,357,220,137,218.16,66.93,20,Sunny,1,62.17,Winter,,
2023-01-01,S005,P0013,Groceries,East,352,257,151,263.23,56.59,20,Rainy,1,56.63,Autumn,,
2023-01-01,S005,P0014,Electronics,West,339,114,36,126.45,69.65,20,Cloudy,1,69.51,Autumn,,
2023-01-01,S005,P0015,Groceries,West,201,105,85,103.62,11.0,20,Cloudy,1,11.55,Spring,,
2023-01-01,S005,P0016,Groceries,East,297,7,63,19.37,59.7,15,Sunny,1,62.56,Spring,,
2023-01-01,S005,P0017,Furniture,North,248,3,77,14.86,77.08,0,Snowy,1,73.47,Winter,,
2023-01-01,S005,P0018,Toys,East,160,74,58,76.54,82.09,5,Rainy,0,86.7,Winter,,
2023-01-01,S005,P0019,Toys,East,186,19,155,12.62,29.18,0,Snowy,1,29.37,Winter,,
2023-01-01,S005,P0020,Toys,East,308,55,131,68.17,34.17,0,Snowy,0,32.84,Summer,,
2023-01-02,S001,P0001,Clothing,South,358,79,71,98.16,57.86,10,Rainy,0,61.61,Summer,,
2023-01-02,S001,P0002,Toys,West,406,257,113,250.26,30.68,15,Sunny,0,32.61,Spring,,
2023-01-02,S001,P0003,Clothing,South,55,41,84,34.12,93.69,5,Snowy,1,88.82,Spring,,
2023-01-02,S001,P0004,Clothing,North,86,30,153,36.02,29.41,20,Sunny,1,28.21,Winter,,
2023-01-02,S001,P0005,Groceries,South,420,385,178,382.15,97.63,5,Cloudy,0,94.85,Summer,,
2023-01-02,S001,P0006,Furniture,West,121,38,112,39.35,14.27,5,Cloudy,1,16.35,Spring,,
2023-01-02,S001,P0007,Toys,South,73,11,110,8.09,22.34,20,Sunny,1,21.41,Winter,,
2023-01-02,S001,P0008,Electronics,North,422,333,178,323.04,43.87,0,Rainy,0,44.99,Autumn,,
2023-01-02,S001,P0009,Electronics,East,103,68,112,80.78,83.1,15,Cloudy,1,81.32,Summer,,
2023-01-02,S001,P0010,Toys,South,342,214,57,227.39,67.32,20,Rainy,1,64.88,Summer,,
2023-01-02,S001,P0011,Electronics,South,292,287,124,292.18,47.61,15,Cloudy,0,44.83,Spring,,
2023-01-02,S001,P0012,Electronics,South,50,40,188,56.51,80.21,15,Sunny,1,84.85,Winter,,
2023-01-02,S001,P0013,Toys,North,77,19,176,29.87,64.09,10,Cloudy,1,63.6,Summer,,
2023-01-02,S001,P0014,Clothing,East,308,82,55,94.34,99.83,0,Snowy,1,96.34,Spring,,
2023-01-02,S001,P0015,Toys,South,127,93,60,106.36,39.94,0,Rainy,0,40.89,Autumn,,
2023-01-02,S001,P0016,Groceries,West,188,136,142,143.52,24.86,10,Rainy,1,20.37,Winter,,
2023-01-02,S001,P0017,Groceries,South,411,191,59,185.86,90.68,20,Sunny,0,91.28,Spring,,
2023-01-02,S001,P0018,Clothing,East,475,63,91,60.62,44.3,10,Rainy,0,49.17,Winter,,
2023-01-02,S001,P0019,Electronics,East,325,217,42,230.23,12.6,15,Sunny,0,12.82,Summer,,
2023-01-02,S001,P0020,Toys,North,247,236,182,237.39,55.67,15,Cloudy,1,57.2,Summer,,
2023-01-02,S002,P0001,Groceries,North,359,335,117,328.28,22.95,0,Snowy,0,22.25,Autumn,,
2023-01-02,S002,P0002,Electronics,North,194,128,150,139.99,33.87,15,Rainy,0,30.28,Winter,,
2023-01-02,S002,P0003,Toys,North,357,287,62,291.62,14.84,15,Sunny,0,16.74,Summer,,
2023-01-02,S002,P0004,Groceries,East,104,69,102,78.39,87.29,20,Sunny,0,85.83,Summer,,
2023-01-02,S002,P0005,Toys,North,216,29,92,29.62,52.58,5,Snowy,1,50.78,Autumn,,
2023-01-02,S002,P0006,Groceries,East,491,116,45,124.93,90.49,5,Sunny,0,94.03,Summer,,
2023-01-02,S002,P0007,Furniture,North,437,280,133,292.0,70.21,5,Sunny,0,73.47,Autumn,,
2023-01-02,S002,P0008,Clothing,South,267,31,114,26.51,51.45,0,Cloudy,1,56.13,Summer,,
2023-01-02,S002,P0009,Groceries,North,402,320,53,325.47,79.69,5,Cloudy,1,83.35,Winter,,
2023-01-02,S002,P0010,Clothing,North,463,165,122,171.1,88.24,0,Snowy,0,93.07,Autumn,,
2023-01-02,S002,P0011,Groceries,East,266,104,20,113.7,55.36,20,Snowy,1,50.83,Summer,,
2023-01-02,S002,P0012,Clothing,South,171,16,166,11.85,82.05,20,Cloudy,0,81.21,Autumn,,
2023-01-02,S002,P0013,Groceries,East,384,261,172,257.48,38.6,5,Snowy,1,42.23,Spring,,
2023-01-02,S002,P0014,Electronics,West,298,4,82,-5.97,32.72,15,Sunny,1,28.56,Autumn,,
2023-01-02,S002,P0015,Electronics,South,233,42,192,57.06,11.84,20,Rainy,1,16.01,Autumn,,
2023-01-02,S002,P0016,Electronics,North,471,190,131,202.21,15.79,15,Snowy,0,13.73,Winter,,
2023-01-02,S002,P0017,Clothing,West,375,288,31,288.07,80.77,15,Rainy,1,76.26,Autumn,,
2023-01-02,S002,P0018,Electronics,West,350,304,31,316.85,78.42,5,Sunny,1,79.28,Spring,,
2023-01-02,S002,P0019,Furniture,South,142,7,50,14.11,11.9,10,Snowy,0,12.59,Winter,,
2023-01-02,S002,P0020,Groceries,West,429,282,183,273.24,16.33,0,Cloudy,0,11.91,Autumn,,
2023-01-02,S003,P0001,Furniture,West,230,18,86,34.91,30.77,5,Snowy,1,35.03,Winter,,
2023-01-02,S003,P0002,Electronics,East,453,170,155,172.15,42.19,0,Snowy,1,45.31,Spring,,
2023-01-02,S003,P0003,Electronics,South,106,31,49,30.02,26.73,5,Cloudy,1,31.25,Winter,,
2023-01-02,S003,P0004,Furniture,South,483,467,53,457.01,11.95,10,Sunny,0,8.46,Winter,,
2023-01-02,S003,P0005,Toys,West,351,137,87,143.13,49.84,0,Cloudy,0,50.87,Winter,,
2023-01-02,S003,P0006,Furniture,South,368,133,161,151.84,90.32,15,Snowy,0,92.89,Autumn,,
2023-01-02,S003,P0007,Electronics,South,264,45,176,51.13,42.43,10,Snowy,1,45.9,Winter,,
2023-01-02,S003,P0008,Clothing,North,246,85,131,95.69,35.88,20,Rainy,1,36.99,Winter,,
2023-01-02,S003,P0009,Groceries,South,212,78,173,77.08,76.5,15,Rainy,1,79.87,Spring,,
2023-01-02,S003,P0010,Furniture,East,125,11,67,15.36,89.34,15,Rainy,1,88.83,Spring,,
2023-01-02,S003,P0011,Furniture,West,398,136,162,143.26,15.45,10,Sunny,1,13.13,Autumn,,
2023-01-02,S003,P0012,Groceries,East,55,38,197,55.85,63.02,15,Sunny,1,64.05,Summer,,
2023-01-02,S003,P0013,Toys,West,204,143,87,161.28,95.77,20,Rainy,0,97.93,Autumn,,
2023-01-02,S003,P0014,Groceries,East,459,458,69,464.92,60.35,0,Sunny,0,57.86,Summer,,
2023-01-02,S003,P0015,Groceries,North,381,88,26,86.25,20.6,20,Rainy,0,23.46,Winter,,
2023-01-02,S003,P0016,Furniture,West,145,41,139,47.39,91.93,0,Snowy,0,90.02,Autumn,,
2023-01-02,S003,P0017,Electronics,East,445,379,160,394.44,92.82,15,Rainy,1,95.09,Summer,,
2023-01-02,S003,P0018,Toys,East,316,118,149,109.6,23.07,20,Cloudy,1,26.13,Spring,,
2023-01-02,S003,P0019,Furniture,North,111,25,94,16.97,85.54,15,Cloudy,1,82.24,Spring,,
2023-01-02,S003,P0020,Toys,North,417,394,143,395.52,31.59,5,Snowy,1,28.41,Autumn,,
2023-01-02,S004,P0001,Furniture,North,279,149,52,156.81,91.77,20,Snowy,0,91.97,Winter,,
2023-01-02,S004,P0002,Toys,West,478,96,24,91.76,77.64,15,Cloudy,1,74.26,Winter,,
2023-01-02,S004,P0003,Electronics,East,342,57,44,74.83,69.96,0,Sunny,1,71.98,Autumn,,
2023-01-02,S004,P0004,Furniture,West,161,151,57,158.31,55.34,20,Rainy,0,55.01,Winter,,
2023-01-02,S004,P0005,Electronics,East,435,256,90,248.56,57.41,15,Cloudy,0,56.93,Summer,,
2023-01-02,S004,P0006,Groceries,East,259,7,98,-1.47,86.54,15,Sunny,1,88.53,Spring,,
2023-01-02,S004,P0007,Furniture,North,281,265,138,268.85,55.31,10,Sunny,1,52.88,Winter,,
2023-01-02,S004,P0008,Toys,South,147,46,185,52.92,39.85,5,Rainy,1,42.27,Autumn,,
2023-01-02,S004,P0009,Toys,South,484,19,131,32.43,66.93,15,Snowy,1,62.59,Autumn,,
2023-01-02,S004,P0010,Clothing,South,372,137,106,145.11,98.67,0,Sunny,1,97.48,Summer,,
2023-01-02,S004,P0011,Clothing,East,69,48,164,64.07,19.07,10,Rainy,0,23.58,Summer,,
2023-01-02,S004,P0012,Groceries,North,141,100,55,103.56,99.98,0,Sunny,1,97.53,Winter,,
2023-01-02,S004,P0013,Clothing,East,207,9,72,26.71,85.75,0,Snowy,1,84.26,Winter,,
2023-01-02,S004,P0014,Furniture,East,191,24,157,43.24,89.24,20,Sunny,0,84.89,Summer,,
2023-01-02,S004,P0015,Clothing,West,373,4,130,7.37,70.86,15,Rainy,0,68.22,Autumn,,
2023-01-02,S004,P0016,Groceries,North,306,152,130,163.72,28.46,10,Snowy,0,28.37,Spring,,
2023-01-02,S004,P0017,Clothing,East,212,16,65,20.01,48.67,15,Snowy,1,52.58,Autumn,,
2023-01-02,S004,P0018,Electronics,East,409,93,76,103.74,17.84,15,Cloudy,1,16.11,Winter,,
2023-01-02,S004,P0019,Furniture,West,201,88,70,89.74,67.96,15,Snowy,0,67.47,Winter,,
2023-01-02,S004,P0020,Electronics,North,463,347,68,351.03,75.16,15,Rainy,1,70.81,Winter,,
2023-01-02,S005,P0001,Clothing,South,112,83,183,95.24,32.3,15,Snowy,1,31.31,Autumn,,
2023-01-02,S005,P0002,Clothing,South,463,338,134,347.48,43.57,10,Sunny,1,40.08,Spring,,
2023-01-02,S005,P0003,Furniture,West,206,117,132,136.25,25.57,10,Cloudy,1,24.88,Winter,,
2023-01-02,S005,P0004,Furniture,West,304,226,141,244.69,40.46,20,Snowy,1,43.56,Autumn,,
2023-01-02,S005,P0005,Electronics,East,293,269,116,287.51,83.27,0,Sunny,1,88.17,Summer,,
2023-01-02,S005,P0006,Clothing,South,132,78,142,90.81,97.22,5,Rainy,1,93.33,Autumn,,
2023-01-02,S005,P0007,Groceries,North,384,247,196,238.75,20.68,5,Rainy,0,25.58,Autumn,,
2023-01-02,S005,P0008,Electronics,East,87,67,69,77.39,62.46,15,Rainy,0,63.74,Spring,,
2023-01-02,S005,P0009,Toys,North,358,284,148,274.45,82.62,15,Rainy,0,81.93,Autumn,,
2023-01-02,S005,P0010,Electronics,North,365,154,173,145.88,76.77,20,Snowy,1,79.13,Autumn,,
2023-01-02,S005,P0011,Furniture,North,398,4,160,16.08,32.38,0,Snowy,0,37.26,Summer,,
2023-01-02,S005,P0012,Toys,South,495,445,39,448.95,40.84,0,Cloudy,0,36.29,Summer,,
2023-01-02,S005,P0013,Electronics,West,338,137,86,138.17,46.15,15,Rainy,1,50.37,Autumn,,
2023-01-02,S005,P0014,Electronics,South,322,175,70,181.92,72.66,15,Rainy,1,69.78,Spring,,
2023-01-02,S005,P0015,Clothing,East,123,99,42,95.69,71.99,15,Sunny,0,71.65,Summer,,
2023-01-02,S005,P0016,Groceries,West,300,64,29,69.42,40.74,5,Snowy,0,39.31,Autumn,,
2023-01-02,S005,P0017,Groceries,North,136,60,134,57.31,27.85,20,Sunny,0,31.77,Autumn,,
2023-01-02,S005,P0018,Groceries,East,456,451,105,455.02,99.9,5,Snowy,1,102.32,Autumn,,
2023-01-02,S005,P0019,Electronics,North,359,222,117,230.73,67.92,20,Snowy,0,68.23,Summer,,
2023-01-02,S005,P0020,Electronics,South,59,34,172,47.43,60.09,0,Cloudy,1,56.64,Winter,,
2023-01-03,S001,P0001,Electronics,East,284,236,194,248.32,24.2,20,Cloudy,0,27.46,Summer,,
2023-01-03,S001,P0002,Groceries,East,310,225,91,215.38,23.83,20,Rainy,0,24.34,Summer,,
2023-01-03,S001,P0003,Toys,North,304,265,62,274.03,43.82,15,Sunny,1,47.89,Spring,,
2023-01-03,S001,P0004,Furniture,North,203,168,155,187.29,72.77,0,Sunny,0,68.14,Summer,,
2023-01-03,S001,P0005,Groceries,North,112,30,131,46.17,57.11,0,Sunny,1,59.34,Autumn,,
2023-01-03,S001,P0006,Clothing,South,131,9,177,21.66,45.6,0,Cloudy,1,44.89,Spring,,
2023-01-03,S001,P0007,Electronics,East,435,399,87,417.37,50.68,20,Snowy,0,55.3,Spring,,
2023-01-03,S001,P0008,Electronics,East,355,282,30,296.5,30.78,20,Cloudy,0,28.01,Spring,,
2023-01-03,S001,P0009,Toys,North,329,4,112,7.89,82.89,20,Sunny,1,85.41,Winter,,
2023-01-03,S001,P0010,Electronics,South,208,196,58,191.79,63.27,5,Snowy,0,66.35,Spring,,
2023-01-03,S001,P0011,Toys,West,459,143,81,161.98,36.99,10,Rainy,0,37.29,Autumn,,
2023-01-03,S001,P0012,Toys,North,339,191,64,210.4,55.49,0,Snowy,1,53.69,Summer,,
2023-01-03,S001,P0013,Furniture,West,212,11,123,18.93,62.66,20,Snowy,1,66.03,Summer,,
2023-01-03,S001,P0014,Toys,South,427,211,170,230.83,61.71,5,Snowy,0,62.42,Autumn,,
2023-01-03,S001,P0015,Clothing,South,320,316,129,317.72,53.07,20,Sunny,1,57.88,Summer,,
2023-01-03,S001,P0016,Clothing,South,463,409,36,408.12,45.98,10,Cloudy,0,45.71,Winter,,
2023-01-03,S001,P0017,Toys,South,463,157,65,168.11,86.53,15,Cloudy,1,89.83,Summer,,
2023-01-03,S001,P0018,Furniture,West,358,45,144,40.07,32.29,15,Rainy,0,37.21,Spring,,
2023-01-03,S001,P0019,Groceries,East,470,266,87,257.19,12.0,20,Rainy,0,9.0,Winter,,
2023-01-03,S001,P0020,Clothing,South,348,246,155,246.03,38.74,5,Rainy,1,34.6,Summer,,
2023-01-03,S002,P0001,Toys,East,77,28,69,24.28,43.44,0,Cloudy,0,40.88,Winter,,
2023-01-03,S002,P0002,Furniture,East,94,20,175,33.21,58.51,20,Cloudy,1,54.38,Autumn,,
2023-01-03,S002,P0003,Clothing,North,241,20,137,20.13,38.47,15,Sunny,1,33.52,Summer,,
2023-01-03,S002,P0004,Groceries,North,249,120,25,111.41,10.17,5,Cloudy,1,10.49,Autumn,,
2023-01-03,S002,P0005,Electronics,North,72,53,112,57.99,83.37,10,Cloudy,0,81.28,Summer,,
2023-01-03,S002,P0006,Furniture,East,173,150,112,166.14,26.47,15,Sunny,0,28.51,Autumn,,
2023-01-03,S002,P0007,Furniture,North,452,49,33,49.87,99.32,10,Rainy,0,99.79,Spring,,
2023-01-03,S002,P0008,Furniture,West,306,8,150,12.82,33.32,10,Sunny,0,30.16,Winter,,
2023-01-03,S002,P0009,Electronics,West,225,148,145,154.16,33.64,5,Snowy,1,30.64,Winter,,
2023-01-03,S002,P0010,Groceries,East,57,42,135,40.36,74.93,15,Cloudy,0,76.17,Winter,,
2023-01-03,S002,P0011,Furniture,South,269,140,135,140.51,26.75,5,Rainy,0,26.32,Summer,,
2023-01-03,S002,P0012,Toys,North,359,307,125,298.87,72.69,15,Cloudy,0,76.93,Summer,,
2023-01-03,S002,P0013,Toys,South,319,4,188,20.25,34.0,15,Snowy,1,32.48,Summer,,
2023-01-03,S002,P0014,Groceries,South,359,174,150,175.46,54.46,20,Cloudy,1,50.7,Autumn,,
2023-01-03,S002,P0015,Furniture,East,333,47,69,56.82,47.96,0,Sunny,0,52.86,Summer,,
2023-01-03,S002,P0016,Electronics,South,403,112,49,103.45,65.63,5,Rainy,0,64.31,Spring,,
2023-01-03,S002,P0017,Groceries,East,112,40,83,39.4,14.62,0,Snowy,1,16.75,Summer,,
2023-01-03,S002,P0018,Electronics,West,458,112,180,115.7,58.11,5,Sunny,0,62.67,Summer,,
2023-01-03,S002,P0019,Groceries,North,88,30,175,49.62,66.7,0,Sunny,1,66.63,Autumn,,
2023-01-03,S002,P0020,Electronics,West,252,29,66,39.25,40.61,0,Rainy,0,37.73,Winter,,
2023-01-03,S003,P0001,Toys,East,93,14,33,30.37,24.77,5,Rainy,1,22.32,Winter,,
2023-01-03,S003,P0002,Electronics,East,409,177,121,192.43,67.89,5,Cloudy,1,68.71,Spring,,
2023-01-03,S003,P0003,Furniture,South,204,79,163,79.85,97.21,5,Cloudy,0,98.38,Spring,,
2023-01-03,S003,P0004,Toys,North,145,128,96,134.35,80.01,20,Sunny,1,77.61,Spring,,
2023-01-03,S003,P0005,Furniture,West,71,60,78,50.02,50.69,10,Rainy,1,55.64,Winter,,
2023-01-03,S003,P0006,Groceries,North,446,355,78,351.59,34.12,15,Sunny,1,34.96,Spring,,
2023-01-03,S003,P0007,Clothing,South,234,186,119,199.9,96.8,20,Rainy,1,97.32,Autumn,,
2023-01-03,S003,P0008,Clothing,South,473,168,176,183.72,77.76,20,Snowy,1,74.96,Autumn,,
2023-01-03,S003,P0009,Groceries,North,162,136,65,139.08,65.04,5,Snowy,1,64.24,Winter,,
2023-01-03,S003,P0010,Electronics,West,427,372,168,381.79,90.11,5,Sunny,1,91.45,Autumn,,
2023-01-03,S003,P0011,Toys,West,364,108,44,105.53,89.02,10,Cloudy,0,90.67,Spring,,
2023-01-03,S003,P0012,Groceries,North,178,103,112,94.85,94.08,15,Cloudy,0,96.18,Autumn,,
2023-01-03,S003,P0013,Electronics,South,318,257,177,247.24,57.85,5,Cloudy,0,56.17,Autumn,,
